"","unique_id","af_survival_rate_all","af_survival_rate_all_95CI","calves_100cows","density","density_95CI","id","year","name_sa","area_ha","cut_8_year_area_ha","cut_15_year_area_ha","cut_25_year_area_ha","mpb_all_8_year_area_ha","mpb_all_15_year_area_ha","mpb_m_8_year_area_ha","mpb_s_8_year_area_ha","mpb_vs_8_year_area_ha","mpb_m_15_year_area_ha","mpb_s_15_year_area_ha","mpb_vs_15_year_area_ha","prop_cut_8_year_area_ha","prop_cut_15_year_area_ha","prop_cut_25_year_area_ha","prop_mpb_m_8_year_area_ha","prop_mpb_m_15_year_area_ha","prop_mpb_s_8_year_area_ha","prop_mpb_s_15_year_area_ha","prop_mpb_vs_8_year_area_ha","prop_mpb_vs_15_year_area_ha","prop_mpb_all_8_year_area_ha","prop_mpb_all_15_year_area_ha","delta_af_survival_rate_all","delta_calves_100cows","delta_cut_8_year_area_ha","delta_cut_15_year_area_ha","delta_cut_25_year_area_ha","delta_mpb_m_8_year_area_ha","delta_mpb_s_8_year_area_ha","delta_mpb_vs_8_year_area_ha","delta_mpb_all_8_year_area_ha","delta_mpb_m_15_year_area_ha","delta_mpb_s_15_year_area_ha","delta_mpb_vs_15_year_area_ha","delta_mpb_all_15_year_area_ha","delta_prop_cut_8_year_area_ha","delta_prop_cut_15_year_area_ha","delta_prop_cut_25_year_area_ha","delta_prop_mpb_m_8_year_area_ha","delta_prop_mpb_m_15_year_area_ha","delta_prop_mpb_s_8_year_area_ha","delta_prop_mpb_s_15_year_area_ha","delta_prop_mpb_vs_8_year_area_ha","delta_prop_mpb_vs_15_year_area_ha","delta_prop_mpb_all_8_year_area_ha","delta_prop_mpb_all_15_year_area_ha"
"11","Entiako2016",0.799,0.111,14,0,0,5,2016,"Entiako",1155045.049,24168.05,53117.14,88226.24,22366.150826,84990.074489435,22180.6281988,185.5226272,0,63894.4945957,17052.89272056,4042.687173175,0.020923902510057,0.0459870721457895,0.0763833757621691,0.0192032581049573,0.0553177511569941,0.000160619386543078,0.0147638334412358,0,0.00350002554157955,0.0193638774915003,0.0735816101398094,-0.114,0,7582.14,4565.64,8176.98000000001,21570.48403153,115.61328001,0,21686.09731154,32554.38725223,1771.56842897,-175.296251515,34150.659429685,0.00435901892968624,-0.00250287776665846,-0.00356440356346505,0.0185938874344261,0.0240173745396784,9.07986653778202e-05,-0.000498118290329147,0,-0.000712610628152673,0.0186846860998039,0.0228066456211965
"12","Entiako2017",0.775,0.168,9,0,0,5,2017,"Entiako",932118.0834,19396.92,36759.03,72702.99,80.57847575,48168.732165825,80.57847575,0,0,40636.53759335,4617.27942743,2914.915145045,0.0208095093802361,0.0394360228115278,0.077997617785515,8.64466393099911e-05,0.043595911630771,0,0.00495353486823041,0,0.0031271951450749,8.64466393099911e-05,0.0516766416440763,-0.024,-5,-4771.13,-16358.11,-15523.25,-22100.04972305,-185.5226272,0,-22285.57235025,-23257.95700235,-12435.61329313,-1127.77202813,-36821.34232361,-0.000114393129820884,-0.0065510493342617,0.00161424202334592,-0.0191168114656473,-0.0117218395262231,-0.000160619386543078,-0.00981029857300535,0,-0.000372830396504647,-0.0192774308521903,-0.0219049684957331
"13","Entiako2018",0.817,0.133,15,217,46,5,2018,"Entiako",415737.9816,10065.07,14868.14,26347.34,28.9355424,3295.537418977,28.9355424,0,0,2426.56329136,443.8306104,425.143517217,0.0242101286037513,0.0357632467035579,0.0633748687060061,6.96004302725464e-05,0.00583676113022241,0,0.00106757291862505,0,0.00102262371020517,6.96004302725464e-05,0.00792695775905263,0.0419999999999999,6,-9331.85,-21890.89,-46355.65,-51.64293335,0,0,-51.64293335,-38209.97430199,-4173.44881703,-2489.771627828,-44873.194746848,0.00340061922351522,-0.00367277610796996,-0.0146227490795089,-1.68462090374446e-05,-0.0377591505005485,0,-0.00388596194960536,0,-0.00210457143486973,-1.68462090374446e-05,-0.0437496838850236
"14","John Prince Research Forest2015",1,0,8,770,93,2,2015,"John Prince Research Forest",241654.5138,29168.59,37868.72,49666.26,965.943758484,5604.364924871,583.164892834,382.77886565,0,3630.575638064,1205.529707567,768.25957924,0.120703683706652,0.156706032113852,0.205525894050153,0.00241321746349271,0.0150238271198558,0.00158399220288018,0.00498864965777022,0,0.0031791650284498,0.00399720966637289,0.0231916418060758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","John Prince Research Forest2016",0.923,0.084,17,0,0,2,2016,"John Prince Research Forest",539670.5435,51404.87,72934.05,97967.94,5240.74687536,14063.936386882,4870.52720701,370.21966835,0,11693.36814204,1540.072870252,830.49537459,0.0952523175836444,0.135145508455938,0.181532865152571,0.00902500102270266,0.0216676049543178,0.000686010516618089,0.00285372786934776,0,0.00153889328330554,0.00971101153932075,0.0260602261069711,-0.077,9,22236.28,35065.33,48301.68,4287.362314176,-12.5591973,0,4274.803116876,8062.792503976,334.543162685,62.23579535,8459.571462011,-0.0254513661230077,-0.0215605236579135,-0.0239930288975823,0.00661178355920995,0.00664377783446207,-0.000897981686262087,-0.00213492178842247,0,-0.00164027174514426,0.00571380187294786,0.00286858430089534
"16","John Prince Research Forest2017",0.949,0.11,40,0,0,2,2017,"John Prince Research Forest",688189.0975,65546.65,91548.02,125508.74,597.176012062,17198.320121742,566.024205812,31.15180625,0,13561.443813512,2546.34675372,1090.52955451,0.0952451153877805,0.13302741983645,0.182375368130559,0.000822483541032848,0.0197059846817931,4.52663466526364e-05,0.00370006843027617,0,0.00158463648795308,0.000867749887685485,0.0249906896000223,0.0259999999999999,23,14141.78,18613.97,27540.8,-4304.503001198,-339.0678621,0,-4643.570863298,1868.075671472,1006.273883468,260.03417992,3134.38373486,-7.20219586398951e-06,-0.00211808861948834,0.000842502977988879,-0.00820251748166981,-0.00196162027252476,-0.000640744169965453,0.000846340560928416,0,4.57432046475409e-05,-0.00884326165163526,-0.00106953650694881
"17","John Prince Research Forest2018",0.951,0.066,37,490,84,2,2018,"John Prince Research Forest",680200.4644,67549.56,93140.94,127975.13,51.734592992,16139.179505228,51.734592992,0,0,12878.384405892,2373.97306064,886.822038696,0.0993083120864744,0.136931603071102,0.188143255845739,7.60578619093339e-05,0.0189332190727802,0,0.00349010796800038,0,0.00130376570600883,7.60578619093339e-05,0.0237270927467894,0.002,-3,2002.91,1592.92,2466.39,-514.28961282,-31.15180625,0,-545.44141907,-683.059407620001,-172.37369308,-203.707515814,-1059.140616514,0.00406319669869391,0.00390418323465208,0.00576788771517997,-0.000746425679123514,-0.000772765609012922,-4.52663466526364e-05,-0.000209960462275789,0,-0.00028087078194425,-0.000791692025776151,-0.00126359685323296
"18","Prince George South2015",0.875,0.162,39,630,102,3,2015,"Prince George South",411263.1809,28457.54,84209.58,114749.32,2726.64663768,49433.762124115,2074.4242343,438.06055678,214.1618466,33651.6798752,11030.80950432,4751.272744595,0.0691954478826043,0.204758373496303,0.27901675941154,0.0050440310016578,0.0818251704457408,0.00106515870402344,0.0268217774325929,0.000520741599409246,0.0115528765161944,0.00662993130509048,0.120199824394528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Prince George South2016",0.842,0.118,27,0,0,3,2016,"Prince George South",702650.8384,48442.72,129929.67,181997.71,852.81818853,91595.67524213,744.87169953,107.946489,0,66228.88036953,18353.6127302,7013.1821424,0.0689428053772888,0.184913562895423,0.259015858309406,0.00106008796805273,0.0942557480189438,0.000153627496191144,0.026120530606628,0,0.00998103433331077,0.00121371546424387,0.130357312958883,-0.033,-12,19985.18,45720.09,67248.39,-1329.55253477,-330.11406778,-214.1618466,-1873.82844915,32577.20049433,7322.80322588,2261.909397805,42161.913118015,-0.000252642505315481,-0.0198448106008806,-0.0200009011021338,-0.00398394303360508,0.0124305775732031,-0.000911531207832292,-0.000701246825964959,-0.000520741599409246,-0.00157184218288358,-0.00541621584084661,0.0101574885643545
"20","Prince George South2017",0.946,0.151,40,0,0,3,2017,"Prince George South",687005.1133,44452.35,123133.78,174461.16,58.42396117,81148.72741514,22.82121243,35.60274874,0,58394.54907033,16614.210373,6139.96797181,0.0647045402420297,0.179232698005015,0.253944485452202,3.32184025827396e-05,0.0849987109846013,5.18231204553685e-05,0.0241835323367454,0,0.00893729588462147,8.50415230381081e-05,0.118119539205968,0.104,13,-3990.37,-6795.89,-7536.54999999999,-722.0504871,-72.34374026,0,-794.39422736,-7834.33129920001,-1739.4023572,-873.214170590001,-10446.94782699,-0.00423826513525913,-0.00568086489040787,-0.00507137285720471,-0.00102686956546999,-0.00925703703434247,-0.000101804375735775,-0.00193699826988254,0,-0.0010437384486893,-0.00112867394120576,-0.0122377737529143
"21","Prince George South2018",0.794,0.122,26,400,78,3,2018,"Prince George South",632486.422,31720.24,109662.03,162765.76,4.990482863,71141.631476143,4.684805788,0.305677075,0,51757.564283138,13661.883470895,5722.18372211,0.0501516536903618,0.173382425591422,0.257342694385936,7.40696657674653e-06,0.0818318978603117,4.83294288015562e-07,0.0216002794616435,0,0.0090471250023293,7.89026086476209e-06,0.112479302324285,-0.152,-14,-12732.11,-13471.75,-11695.4,-18.136406642,-35.297071665,0,-53.433478307,-6636.98478719199,-2952.326902105,-417.7842497,-10007.095938997,-0.0145528865516679,-0.00585027241359257,0.0033982089337341,-2.5811436005993e-05,-0.00316681312428964,-5.1339826167353e-05,-0.0025832528751019,0,0.000109829117707823,-7.7151262173346e-05,-0.00564023688168372
